english,spanish,gender
research,La investigación,
character,el carácter,
station,la estación,
crisis,la crisis,
expert,el experto,
blood,la sangre,
chairman,el presidente,
argument,el argumento,
list,la lista,
dog,el perro,
computer,el ordenador,
beginning,el principio,
insurance,el seguro,
field,el campo,
sister,la hermana,
mistake,el error,
player,el jugador,
energy,la energía,
paper,el documento,
space,el espacio,
store,la tienda,
agreement,el acuerdo,
responsibility,la responsabilidad,
lady,la dama,
order,el orden,
summer,el verano,
product,el producto,
value,el valor,
stock,la acción,
intelligence,la inteligencia,
teacher,el profesor,
agency,la agencia,
trade,el comercio,
conference,la conferencia,
cell,la célula,
church,la iglesia,
comment,el comentario,
source,la fuente,
past,el pasado,
cut,el corte,
thought,el pensamiento,
credit,el crédito,
hope,la esperanza,
sign,el signo,
career,la carrera,
marriage,el matrimonio,
condition,la condición,
witness,el testigo,
technology,la tecnología,
stage,la etapa de,
staff,el personal,
arm,el brazo,
mission,la misión,
art,el arte,
actor,el actor,
battle,la batalla,
top,la parte superior,
citizen,el ciudadano,
author,el autor,
reaction,la reacción,
gentleman,el caballero,
leadership,el liderazgo,
fear,el miedo,
example,el ejemplo,
language,el idioma,
need,la necesidad,
justice,la justicia,
discussion,la discusión,
border,la frontera,
animal,el animal,
detail,el detalle,
response,la respuesta,
network,la red,
movement,el movimiento,
use,el uso,
male,el macho,
capital,la capital,
hearing,la audiencia,
standard,la norma,
benefit,el beneficio,
table,la tabla,
treatment,el tratamiento,
agent,el agente,
card,la tarjeta,
shot,el disparo,
board,el tablero,
reality,la realidad,
sir,el señor,
land,la tierra,
project,el proyecto,
light,la luz,
image,la imagen,
century,el siglo,
page,la página,
success,el éxito,
sound,el sonido,
impact,el impacto,
pain,el dolor,
season,la temporada,
individual,el individuo,
sport,el deporte,
studio,el estudio,
decade,la década,
challenge,el desafío,
dream,el sueño,
newspaper,el periódico,
floor,el piso,
fight,la lucha,
safety,la seguridad,
act,el acto,
trip,el viaje,
course,el curso,
possibility,la posibilidad,
freedom,la libertad,
fund,el fondo,
seat,el asiento,
bomb,la bomba,
form,la forma,
executive,el ejecutivo,
minister,el ministro,
deficit,el déficit,
development,el desarrollo,
flight,el vuelo,
secretary,el secretario,
committee,el comité,
consumer,el consumidor,
rock,la roca,
figure,la figura,
subject,el sujeto,
culture,la cultura,
hair,el cabello,
coverage,la cobertura,
loss,la pérdida,
dad,el papá,
note,la nota,
activity,la actividad,
goal,el objetivo,
option,la opción,
gas,el gas,
region,la región,
population,la población,
ability,la capacidad,
resolution,la resolución,
employee,el empleado,
brain,el cerebro,
politician,el político,
middle,el centro,
storm,la tormenta,
generation,la generación,
critic,el crítico,
fan,el ventilador,
scientist,el científico,
target,el objetivo,
camp,el campamento,
afternoon,la tarde,
direction,la dirección,
science,la ciencia,
journalist,el periodista,
degree,el grado,
affair,el asunto,
damage,el daño,
strategy,la estrategia,
factor,el factor,
plant,la planta,
democracy,la democracia,
doubt,la duda,
solution,la solución,
spending,el gasto,
training,la formación,
abuse,el abuso,
danger,el peligro,
environment,el medio ambiente,
memory,la memoria,
nature,la naturaleza,
material,el material,
document,el documento,
income,los ingresos,
analyst,el analista,
play,el juego,
guard,la guardia,
hotel,el hotel,
editor,el editor,
missile,el misil,
accident,el accidente,
purpose,el propósito,
writer,el escritor,
emergency,la emergencia,
growth,el crecimiento,
bed,la cama,
welfare,el bienestar,
adult,el adulto,
faith,la fe,
proposal,la propuesta,
model,el modelo,
army,el ejército,
incident,el incidente,
box,la caja,
crowd,la multitud,
respect,el respeto,
department,el departamento,
access,el acceso,
date,la fecha,
chief,el jefe,
weather,el clima,
airport,el aeropuerto,
machine,la máquina,
window,la ventana,
agenda,el orden del día,
advice,el consejo,
prosecution,la fiscalía,
conflict,el conflicto,
fall,la caída,
pilot,el piloto,
practice,la práctica,
track,la pista,
owner,el propietario,
increase,el aumento,
legislation,la legislación,
tree,el árbol,
debt,la deuda,
enemy,el enemigo,
truck,el camión,
lead,el plomo,
convention,la convención,
aid,la ayuda,
suicide,el suicidio,
quality,la calidad,
conservative,la conservadora,
size,el tamaño,
account,la cuenta,
pleasure,el placer,
institution,la institución,
airline,la línea aérea,
weight,el peso,
approach,el enfoque,
surgery,la cirugía,
holiday,las vacaciones,
start,el inicio,
victory,la victoria,
district,el distrito,
relation,la relación,
search,la búsqueda,
crew,la tripulación,
panel,el panel,
coalition,la coalición,
move,el movimiento,
package,el paquete,
check,el cheque,
minority,la minoría,
unit,la unidad,
bag,la bolsa,
surprise,la sorpresa,
focus,el foco,
circumstance,la circunstancia,
producer,el productor,
investment,la inversión,
ball,la pelota,
colleague,el colega,
resource,el recurso,
judgment,la sentencia,
background,el fondo,
union,la unión,
address,la dirección,
driver,el controlador,
hero,el héroe,
medicine,el medicamento,
representative,el representante,
vehicle,el vehículo,
commander,el comandante,
artist,el artista,
mayor,el alcalde,
run,la carrera,
ship,el barco,
theory,la teoría,
screen,la pantalla,
lesson,la lección,
resident,el residente,
partner,el socio,
bar,el bar,
ticket,el billete,
disaster,el desastre,
performance,el desempeño,
supporter,aficionados,
killer,el asesino,
negotiation,la negociación,
sea,el mar,
wind,el viento,
shoe,el zapato,
secret,el secreto,
tragedy,la tragedia,
gift,el regalo,
tour,la gira,
manager,el gestor,
band,la banda,
birth,el nacimiento,
host,el anfitrión,
loan,el préstamo,
allegation,la alegación,
winner,el ganador,
religion,la religión,
article,el artículo,
session,la sesión,
being,el ser,
extent,la medida,
contract,el contrato,
sentence,la sentencia,
measure,la medida,
deputy,el diputado,
confidence,la confianza,
hell,el infierno,
relief,el alivio,
perspective,la perspectiva,
advantage,La ventaja,
scandal,el escándalo,
leg,la pierna,
restaurant,el restaurante,
dinner,la cena,
client,el cliente,
failure,el fracaso,
quarter,el trimestre,
element,el elemento,
claim,la reclamación,
property,la propiedad,
version,la versión,
attempt,el intento,
bus,el autobús,
customer,el cliente,
appeal,la apelación,
pound,la libra,
protection,la protección,
gene,el gen,
stone,la piedra,
opposition,la oposición,
apartment,el apartamento,
front,el frente,
female,la hembra,
prisoner,el prisionero,
black,el negro,
gang,la pandilla,
principle,el principio,
ally,el aliado,
adviser,el asesor,
visit,la visita,
bird,el pájaro,
stand,el soporte,
communication,la comunicación,
boat,el barco,
connection,la conexión,
key,la tecla,
strike,la huelga,
penalty,la pena,
warning,la advertencia,
luck,la suerte,
dna,el ADN,
spirit,el espíritu,
turn,la vuelta,
facility,la instalación,
teenager,el adolescente,
commitment,el compromiso,
item,el elemento,
procedure,el procedimiento de,
half,la media,
tank,el tanque,
telephone,el teléfono,
supply,el suministro,
attitude,la actitud,
block,el bloque,
bond,el vínculo,
style,el estilo,
football,el fútbol,
fuel,el combustible,
data,los datos,
glass,el cristal,
suit,el traje,
strength,la fuerza,
criticism,las críticas,
ice,el hielo,
equipment,el equipo,
promise,la promesa,
return,el regreso,
album,el álbum,
production,la producción,
corner,la esquina,
consequence,la consecuencia,
living,los vivos,
injury,la lesión,
cover,la tapa,
spot,el punto,
breast,la mama,
spring,la primavera,
controversy,la controversia,
destruction,la destrucción,
aspect,el aspecto,
club,el club,
aircraft,la aeronave,
firm,la empresa,
regime,el régimen,
competition,la competencia,
profit,el beneficio,
knowledge,el conocimiento,
spokesman,el portavoz,
review,la revisión,
understanding,la comprensión,
recession,la recesión,
singer,el cantante,
village,el pueblo,
arrest,la detención,
snow,la nieve,
joke,la broma,
gold,el oro,
contact,el contacto,
demand,la demanda,
task,la tarea,
hole,el agujero,
general,general,
skin,la piel,
count,el recuento,
opponent,el oponente,
conclusion,la conclusión,
priority,la prioridad,
rape,la violación,
refugee,el refugiado,
mountain,la montaña,
summit,la cumbre,
bottom,la parte inferior,
management,la gestión,
commission,la comisión,
range,la gama,
code,el código,
cash,el dinero en efectivo,
mouth,la boca,
presence,la presencia,
share,la cuota,
fashion,la moda,
shape,la forma,
chair,la silla,
finger,el dedo,
fish,el pescado,
edition,la edición,
edge,el borde,
limit,el límite,
train,el tren,
belief,la creencia,
balance,el balance,
exchange,el intercambio,
farm,la granja,
zone,la zona,
passenger,el pasajero,
lie,la mentira,
duty,el deber,
traffic,el tráfico,
horse,el caballo,
tradition,la tradición,
recovery,la recuperación,
inspector,el inspector,
difficulty,la dificultad,
file,el archivo,
birthday,el cumpleaños,
finance,la financiación,
crash,el accidente,
influence,la influencia,
regulation,la regulación,
analysis,el análisis,
struggle,la lucha,
heat,el calor,
dress,el vestido,
release,la liberación,
winter,el invierno,
virus,el virus,
theme,el tema,
notion,la noción,
device,el dispositivo,
anger,la ira,
english,el Inglés,
flag,la bandera,
context,el contexto,
wing,el ala,
fighting,los combates,
pattern,el patrón,
entertainment,el entretenimiento,
appearance,la aparición,
saving,el ahorro,
investor,el inversor,
bridge,el puente,
settlement,el asentamiento,
rain,la lluvia,
wood,la madera,
mail,el correo,
farmer,el agricultor,
mystery,el misterio,
prayer,la oración,
vision,la visión,
depression,la depresión,
explosion,la explosión,
defendant,el acusado,
structure,la estructura,
amendment,la enmienda,
assault,el asalto,
thinking,el pensamiento,
therapy,la terapia,
nurse,la enfermera,
path,el camino,
funding,la financiación,
tool,la herramienta,
title,el título,
housing,la carcasa,
shop,la tienda,
complaint,la queja,
wave,la ola,
cat,el gato,
map,el mapa,
employer,el empleador,
proof,la prueba,
emotion,la emoción,
skill,la habilidad,
trust,la confianza,
topic,el tema,
personality,la personalidad,
hall,la sala,
cabinet,el armario,
bone,el hueso,
soul,el alma,
chicken,el pollo,
location,la ubicación,
indication,la indicación,
speaker,el altavoz,
wage,el salario,
era,la era,
request,la solicitud,
boss,el jefe,
coach,el entrenador,
estate,la finca,
sector,el sector,
egg,el huevo,
stake,la estaca,
stop,la parada,
ring,el anillo,
shock,el choque,
contribution,la contribución,
announcement,el anuncio,
cigarette,el cigarrillo,
kitchen,la cocina,
territory,el territorio,
command,el comando,
island,la isla,
protest,la protesta,
impression,la impresión de,
fault,el fallo,
coast,la costa,
reading,la lectura,
variety,la variedad,
revenue,los ingresos,
bell,la campana,
coffee,el café,
alcohol,el alcohol,
lunch,el almuerzo,
expectation,la expectativa,
grade,el grado,
diet,la dieta,
section,la sección,
ear,el oído,
sky,el cielo,
assistance,la ayuda,
signal,la señal,
stress,el estrés,
alternative,la alternativa,
researcher,el investigador,
cable,el cable,
opening,la apertura,
beach,la playa,
volunteer,el voluntario,
burden,la carga,
detective,el detective,
toy,el juguete,
gain,la ganancia,
asset,el activo,
pool,la piscina,
trend,la tendencia,
survey,la encuesta,
planet,el planeta,
river,el río,
identity,la identidad,
ocean,el océano,
joy,la alegría,
delay,el retraso,
clinic,la clínica,
yard,el patio,
tip,la punta,
divorce,el divorcio,
sun,el sol,
row,la fila,
phrase,la frase,
worth,la pena,
collection,la colección,
occasion,la ocasión,
surface,la superficie,
tie,el empate,
musician,el músico,
concept,el concepto,
tension,la tensión,
outcome,el resultado,
approval,la aprobación,
fellow,el becario,
beauty,la belleza,
casualty,el siniestro,
copy,la copia,
mine,la mina,
watch,el reloj,
sleep,el sueño,
average,la media,
travel,el recorrido,
fraud,el fraude,
category,la categoría,
exercise,el ejercicio,
conviction,la convicción,
initiative,la iniciativa,
technique,la técnica de,
recording,la grabación,
sight,la vista,
reduction,la reducción,
whole,el conjunto,
corporation,la corporación,
passion,la pasión,
funeral,el funeral,
youth,la juventud,
instrument,el instrumento,
distance,la distancia,
desert,el desierto,
anniversary,el aniversario,
writing,la escritura,
invasion,la invasión,
compromise,el compromiso,
illness,la enfermedad,
tear,el desgarro,
gate,la puerta,
forest,el bosque,
experiment,el experimento,
golf,el golf,
talent,el talento,
post,el cargo,
gap,la brecha,
priest,el sacerdote,
novel,la novela,
division,la división,
desire,el deseo,
hat,el sombrero,
mortgage,la hipoteca,
reputation,la reputación,
score,la puntuación,
shoulder,el hombro,
relative,la relación,
column,la columna,
payment,el pago,
transition,la transición,
award,el premio,
capability,la capacidad,
definition,la definición,
pocket,el bolsillo,
speed,la velocidad,
concert,el concierto,
climate,el clima,
clue,la clave,
beer,La cerveza,
nose,la nariz,
green,el verde,
garden,el jardín,
satellite,el satélite,
ceremony,la ceremonia,
human,la humana,
discovery,el descubrimiento,
ride,el paseo,
root,la raíz,
tea,el té,
motion,el movimiento,
percentage,el porcentaje,
combination,la combinación,
explanation,la explicación,
scale,la escala,
chain,la cadena de,
twin,el gemelo,
capacity,la capacidad,
dealer,el distribuidor,
touch,el toque,
journey,el viaje,
delegate,el delegado,
link,el enlace,
plastic,el plástico,
stimulus,el estímulo,
cap,la tapa,
roll,el rollo,
construction,la construcción,
intention,la intención,
dispute,la disputa,
mood,el estado de ánimo,
design,el diseño,
childhood,la infancia,
engine,el motor,
lifetime,el tiempo de vida,
nightmare,la pesadilla,
dance,la danza,
meal,la comida,
offer,la oferta,
obligation,la obligación,
advance,el avance,
charity,la caridad,
tourist,el turista,
factory,la fábrica,
fat,la grasa,
salt,la sal de,
neck,el cuello,
bedroom,el dormitorio,
episode,el episodio,
engineer,el ingeniero,
punishment,el castigo,
testing,las pruebas,
instance,la instancia,
prospect,la perspectiva,
shopping,las compras,
smoke,el humo,
meat,la carne,
hold,la bodega,
retirement,la jubilación,
inflation,la inflación,
drama,el drama,
desk,el escritorio,
salary,el salario,
bible,la biblia,
grant,la subvención,
demonstration,la demostración,
dialogue,el diálogo,
substance,la sustancia,
core,el núcleo,
treaty,el tratado,
personnel,el personal,
sample,la muestra,
tactic,la táctica,
method,el método,
noise,el ruido,
objective,el objetivo,
flower,la flor,
cup,la copa,
temperature,la temperatura,
symbol,el símbolo,
revolution,la revolución,
taste,el sabor,
museum,el museo,
profile,el perfil,
suggestion,la sugerencia,
route,la ruta,
tooth,el diente,
consultant,el consultor,
drive,la unidad,
disorder,el trastorno,
sugar,el azúcar,
rise,el aumento,
chip,el chip,
motive,el motivo,
shirt,la camisa,
port,el puerto,
potential,el potencial,
schedule,el calendario,
parliament,el parlamento,
contest,el concurso,
atmosphere,la atmósfera,
branch,la rama,
estimate,la estimación,
symptom,el síntoma,
involvement,la participación,
discrimination,la discriminación,
heaven,el cielo,
walk,la caminata,
operator,el operador,
recommendation,la recomendación,
rebel,el rebelde,
round,la ronda,
maker,el fabricante,
wine,el vino,
remark,la observación,
mess,el lío,
tone,el tono,
resistance,la resistencia,
importance,la importancia,
exception,la excepción,
platform,la plataforma,
knife,el cuchillo,
perception,la percepción,
fee,la cuota,
master,el maestro,
circle,el círculo,
manner,la forma,
jet,el chorro,
meaning,el significado,
assessment,la evaluación,
plate,la placa,
expense,expensas,
plot,la trama,
classroom,el aula,
brand,la marca,
painting,la pintura,
roof,el techo,
privilege,el privilegio,
drink,la bebida,
ban,la prohibición,
content,el contenido,
chemical,el producto químico,
french,el francés,
inspection,la inspección,
incentive,el incentivo,
piano,el piano,
bottle,la botella,
waste,los residuos,
error,el error,
label,la etiqueta,
clock,el reloj,
cream,la crema,
good,el bien,
phase,la fase de,
philosophy,la filosofía,
conduct,la conducta,
cycle,el ciclo,
electricity,la electricidad,
bishop,el obispo,
reader,el lector,
pregnancy,el embarazo,
league,la liga,
pet,la mascota,
foundation,la fundación,
boom,el boom,
tower,la torre,
feature,la característica,
withdrawal,la retirada,
breath,la respiración,
crack,la grieta,
manufacturer,el fabricante,
specialist,el especialista,
reference,la referencia,
tale,el cuento,
provision,la provisión,
historian,el historiador,
wire,el alambre,
speculation,la especulación,
pair,el par,
excuse,la excusa,
chocolate,el chocolate,
celebration,la celebración,
cheese,el queso,
fortune,la fortuna,
bathroom,el cuarto de baño,
function,la función de,
universe,el universo,
channel,el canal,
smile,la sonrisa,
milk,la leche,
requirement,el requisito,
suspicion,la sospecha,
household,el hogar,
finding,el hallazgo,
chest,el pecho,
routine,la rutina,
consideration,la consideración,
library,la biblioteca,
harm,el daño,
margin,el margen,
object,el objeto,
guitar,la guitarra,
button,el botón,
silence,el silencio,
improvement,la mejora,
drop,la caída de,
appointment,el nombramiento,
businessman,el hombre de negocios,
flow,el flujo,
metal,el metal,
mirror,el espejo,
present,la presente,
carrier,el portador,
expression,la expresión,
fate,el destino,
cloud,la nube,
muscle,el músculo,
belt,el cinturón,
chapter,el capítulo,
string,la cadena de,
trading,el comercio,
trick,el truco,
guide,la guía,
volume,el volumen,
match,el partido,
fantasy,la fantasía,
knee,la rodilla,
compound,el compuesto,
stomach,el estómago,
height,la altura,
draft,el proyecto,
stranger,el desconocido,
infection,la infección,
mass,la masa,
discipline,la disciplina,
fruit,el fruto,
visitor,el visitante,
poem,el poema,
phenomenon,el fenómeno,
fence,la valla,
application,la aplicación,
recipe,la receta,
clothing,la ropa,
guilt,la culpa,
survival,la supervivencia,
champion,el campeón,
uniform,el uniforme,
print,la impresión,
potato,la papa,
arrangement,la disposición,
moon,la luna,
bear,el oso,
wound,la herida,
stability,la estabilidad,
pride,el orgullo,
restriction,la restricción,
total,del total,
barrier,la barrera,
cousin,el primo,
occupation,la ocupación,
silver,la plata,
cake,la torta,
lung,el pulmón,
wheel,la rueda,
observer,el observador,
tune,la melodía,
description,la descripción,
establishment,el establecimiento,
chamber,la cámara de,
horror,el horror,
banking,la banca,
apple,la manzana,
implication,la implicación,
steel,el acero,
throat,la garganta,
essence,la esencia,
raid,la incursión,
distinction,la distinción,
german,el alemán,
lip,el labio,
timing,la temporización,
insight,la visión,
coup,el golpe de Estado,
shift,el cambio,
policeman,el policía,
habit,el hábito,
sheet,la hoja de,
offender,el delincuente,
midnight,la medianoche,
execution,la ejecución,
anxiety,la ansiedad,
enterprise,la empresa,
strip,la tira,
pop,el pop,
wonder,la maravilla,
shadow,la sombra,
liberty,la libertad,
fiction,la ficción,
intervention,la intervención,
creation,la creación,
marketing,la comercialización,
christian,el cristiano,
pot,la olla,
fishing,la pesca,
breakfast,el desayuno,
tube,el tubo,
determination,la determinación,
sand,la arena,
permission,el permiso,
guideline,la directriz,
shame,la vergüenza,
riot,los disturbios,
user,el usuario,
organ,el órgano,
resort,el resort,
designer,el diseñador,
comparison,la comparación,
employment,el empleo,
bread,el pan,
wish,el deseo,
lover,el amante,
jacket,la chaqueta,
pass,el pase,
statute,el estatuto,
pace,el ritmo,
frame,la trama,
confusion,la confusión,
guarantee,la garantía,
commissioner,el comisionado,
flame,la llama,
assumption,la asunción,
graduate,el graduado,
entry,la entrada,
ward,la sala,
win,la victoria,
opera,la ópera,
friendship,la amistad,
exposure,la exposición,
pig,el cerdo,
mate,el mate,
nerve,el nervio,
length,la longitud,
cow,la vaca,
pack,el paquete,
instruction,la instrucción,
collapse,el colapso,
assistant,el asistente,
objection,la objeción,
diary,el diario,
scholar,el erudito,
comfort,la comodidad,
preparation,la preparación,
province,la provincia,
passage,el pasaje,
crystal,el cristal,
gear,el engranaje,
stroke,el trazo,
decline,la disminución,
achievement,el logro,
existence,la existencia,
alliance,la alianza,
profession,la profesión,
delivery,la entrega,
publisher,el editor,
sympathy,la simpatía,
dish,el plato,
worry,la preocupación,
component,el componente,
adventure,la aventura,
crop,el cultivo,
blow,el golpe,
sake,aras,
sin,el pecado,
pension,la pensión,
garage,el garaje,
radiation,la radiación,
juice,el jugo,
setting,el ajuste,
index,el índice,
vegetable,el vegetal,
partnership,la asociación,
poetry,la poesía,
recognition,el reconocimiento,
self,el auto,
standing,el pie,
tissue,el tejido,
shell,la concha,
captain,el capitán,
grave,la tumba,
rank,el rango,
gender,el género,
shortage,la escasez,
prize,el premio,
coat,la capa,
seed,la semilla,
rat,la rata,
soil,el suelo,
shore,la orilla,
defeat,la derrota,
notice,la notificación,
boot,la bota,
chart,el gráfico,
ministry,el ministerio,
diamond,el diamante,
finish,el acabado,
admission,la admisión,
dark,la oscuridad,
laboratory,el laboratorio,
professional,el profesional,
reward,la recompensa,
infant,el bebé,
text,el texto,
shower,la ducha,
dose,la dosis,
panic,el pánico,
net,la red,
clerk,el secretario,
miner,el minero,
delegation,la delegación,
imagination,la imaginación,
unity,la unidad,
uncle,el tío,
ingredient,el ingrediente,
assignment,la asignación,
currency,la moneda,
battery,la batería,
tunnel,el túnel,
resignation,la renuncia,
buyer,el comprador,
bike,la moto,
excitement,la emoción,
mouse,el ratón,
alarm,la alarma,
poet,el poeta,
landscape,el paisaje,
selection,la selección,
cry,el grito,
separation,la separación,
display,la pantalla,
disability,la discapacidad,
counter,el contador,
championship,el campeonato,
butter,la mantequilla,
portrait,el retrato,
stick,el palo,
engineering,la ingeniería,
myth,el mito,
essay,el ensayo,
cold,el frío,
coal,el carbón,
contrast,el contraste,
observation,la observación,
tail,la cola,
mechanism,el mecanismo,
scheme,el esquema,
presentation,la presentación,
angel,el ángel,
bonus,el bono,
possession,la posesión,
learning,el aprendizaje,
teaching,la enseñanza,
deck,la cubierta,
creature,la criatura,
running,el funcionamiento,
literature,la literatura,
weakness,la debilidad,
blue,el azul,
engagement,el compromiso,
uncertainty,la incertidumbre,
inquiry,la investigación,
motivation,la motivación,
dust,el polvo,
peak,el pico,
instinct,el instinto,
needle,la aguja,
leaf,la hoja,
launch,el lanzamiento,
laugh,la risa,
leave,la licencia,
grass,la hierba,
iron,el hierro,
competitor,el competidor,
complex,el complejo,
bean,el frijol,
pole,el polo,
vessel,el buque,
subsidy,la subvención,
bid,la oferta,
landing,el aterrizaje,
pipe,la tubería,
interpretation,la interpretación,
tournament,Torneo,
hip,la cadera,
diagnosis,el diagnóstico,
pitch,el terreno de juego,
journal,la revista,
ceiling,el techo,
export,la exportación,
awareness,la conciencia,
cross,la cruz,
kiss,el beso,
examination,el examen,
empire,el imperio,
replacement,la sustitución,
duck,el pato,
formula,la fórmula,
devil,el diablo,
limitation,la limitación,
compensation,la compensación,
invitation,la invitación,
declaration,la declaración,
significance,el significado,
final,la final,
premium,la prima,
ambulance,la ambulancia,
carpet,la alfombra,
temple,el templo,
constituent,el constituyente,
concession,la concesión,
consent,el consentimiento,
premise,la premisa,
heritage,el patrimonio,
shelf,el estante,
hint,la indirecta,
rhythm,el ritmo,
liability,el pasivo,
heel,el talón,
layer,la capa de,
strain,la cepa,
carbon,el carbono,
forum,el foro,
merit,el mérito,
youngster,el joven,
transfer,la transferencia,
distribution,la distribución,
expansion,la expansión,
depth,la profundidad,
blanket,la manta,
kingdom,el reino,
mud,el barro,
arrival,la llegada,
reflection,el reflejo,
envelope,la envoltura,
reserve,la reserva,
hunting,la caza,
furniture,los muebles,
gesture,el gesto,
residence,la residencia,
ambition,la ambición,
nail,la uña,
spectrum,el espectro,
drawing,el dibujo,
enthusiasm,el entusiasmo,
pen,la pluma,
preference,la preferencia,
absence,la ausencia,
oxygen,el oxígeno,
squad,la escuadra,
pollution,la contaminación,
lock,la cerradura,
extension,la extensión,
participant,el participante,
architect,el arquitecto,
bench,la magistratura,
rope,la cuerda,
aim,el objetivo,
stream,la corriente de,
evolution,la evolución,
angle,el ángulo,
jurisdiction,la jurisdicción,
charter,la carta,
ideology,la ideología,
tide,la marea,
representation,la representación,
identification,la identificación,
concentration,la concentración,
norm,la norma,
spread,la propagación,
rival,el rival,
disappointment,la decepción,
tribunal,el tribunal,
grain,el grano,
proportion,la proporción,
fool,el tonto,
merger,la fusión,
loyalty,la lealtad,
publication,la publicación,
participation,la participación,
escape,el escape,
shareholder,el accionista,
